Dataset,Number of Records,X,Y
0,1,32.33111023,61.41110125
0,1,53.42146288,26.18688039
0,1,63.92020226,30.83219392
0,1,70.28950572,82.53364859
0,1,34.11883024,45.73455132
0,1,67.6707164,37.11094797
0,1,53.25912941,97.4757711
0,1,63.51498087,25.10007858
0,1,67.98053881,80.95716522
0,1,67.3724659,29.7204002
0,1,15.56074952,80.06564029
0,1,71.79076769,71.06546666
0,1,70.24254644,24.10959755
0,1,64.93743554,81.55420499
0,1,62.21352455,21.475839
0,1,67.26940048,18.70896837
0,1,40.57019705,79.37296348
0,1,74.74118133,21.1016372
0,1,71.76831892,20.01106184
0,1,76.16691981,75.93617041
0,1,65.62365744,15.58280335
0,1,50.85063364,13.98760163
0,1,33.02407003,24.46783039
0,1,39.70632617,84.2752871
0,1,45.59648495,9.763348849
0,1,42.96804691,17.9454584
0,1,52.49440678,16.0511142
0,1,46.08227578,23.11045782
0,1,74.24770821,20.31418781
0,1,64.56826419,83.6396339
0,1,74.02169391,76.12827451
0,1,62.39118056,5.623070761
0,1,74.18903668,68.13358322
0,1,28.23678194,56.13959645
0,1,75.77193879,69.82923003
0,1,75.85522947,62.51704429
0,1,65.97085702,72.744856
0,1,21.77804048,6.616625307
0,1,67.75979625,72.42120153
0,1,78.61719534,52.57525731
0,1,68.50770819,15.45691897
0,1,74.88502116,25.41660632
0,1,66.45490366,19.83662865
0,1,77.3178021,48.39834644
0,1,58.91246032,75.66775622
0,1,57.61744782,8.194800603
0,1,76.0882258,59.67993002
0,1,57.46605055,1.504418175
0,1,79.42838349,45.21079429
0,1,76.35652215,10.41824113
0,1,64.40507526,78.58417608
0,1,40.63504181,73.39475037
0,1,43.94986459,75.95871567
0,1,30.99622058,71.69440494
0,1,68.23076899,80.87250166
0,1,72.04638946,12.91800674
0,1,46.59276797,84.97238278
0,1,49.25721834,81.88140323
0,1,42.78176125,12.99118843
0,1,65.4759522,14.27458564
0,1,71.96508265,17.71023594
0,1,32.14646234,43.48170944
0,1,31.8384977,71.81216539
0,1,31.00525826,40.68250301
0,1,80.47089432,49.50214835
0,1,71.96416711,41.87428267
0,1,78.07942144,93.13331677
0,1,41.67759578,30.20126409
0,1,65.95359519,31.14740608
0,1,62.93445937,31.9163907
0,1,64.37379798,28.86258341
0,1,72.50932836,39.54013025
0,1,30.05228987,96.61754235
0,1,28.00332424,46.67219195
0,1,75.40122686,88.63907662
0,1,38.98001542,87.32216069
0,1,65.21991355,84.68295493
0,1,73.05398996,29.38080856
0,1,34.39836164,59.5444469
0,1,43.49045013,40.78254207
0,1,55.13873797,30.72576036
0,1,43.68439343,32.82300987
0,1,35.90360973,91.11186308
0,1,45.37801888,29.16921665
0,1,39.77748287,43.75581895
0,1,38.66446116,33.31723848
0,1,39.04403669,84.67601083
0,1,91.63996144,79.40660306
0,1,47.48813268,85.38993338
0,1,44.59021258,22.03401164
0,1,39.08961455,70.46619408
0,1,42.22937838,19.91406841
0,1,37.00038715,60.26427925
0,1,39.05208648,70.65250285
0,1,37.48841474,60.81440485
0,1,69.35955946,65.5213546
0,1,43.54277593,62.46031128
0,1,39.81123025,65.33483281
0,1,70.06892594,7.593465609
0,1,70.04054358,77.1438066
0,1,39.50578908,74.85162722
0,1,62.51689085,66.48473224
0,1,72.13992541,0.015119325
0,1,45.25157607,70.00342132
0,1,42.06330456,2.335196612
0,1,36.35569515,6.00584865
0,1,30.39182766,42.75961287
0,1,36.44900385,50.54626907
0,1,40.467576,60.02751209
0,1,81.7246168,6.037544846
0,1,48.8231975,76.63533058
0,1,35.62056177,57.28601558
0,1,50.58396312,71.8066161
0,1,61.85646511,71.79274316
0,1,39.32375603,59.30081967
0,1,42.18567914,66.03489782
0,1,30.84691899,37.3416401
0,1,29.34620043,42.14874183
0,1,82.11055798,1.210551663
0,1,38.30200581,60.01778579
0,1,56.58415302,70.51251481
0,1,33.33937429,0.509106735
0,1,78.77423904,35.48410122
0,1,27.92264425,25.98687818
0,1,71.69786512,10.86814451
0,1,74.13833139,49.17391898
0,1,32.57902007,1.808115597
0,1,59.83218542,69.15250814
0,1,35.03062855,12.53664934
0,1,74.30011983,42.47709459
0,1,63.25019706,65.9524862
0,1,34.17307377,25.69367431
0,1,40.91383193,38.55901955
0,1,62.83329309,62.51089423
0,1,42.47679238,56.73128997
0,1,52.03345628,64.56666203
0,1,48.90704296,74.28774883
0,1,59.85183839,72.95839097
0,1,48.9604602,72.62952573
0,1,46.84485517,36.79171369
0,1,39.96302158,42.94491485
0,1,66.704944,32.01509543
1,1,50.48150817,93.22270137
1,1,50.28240567,97.60998357
1,1,50.18670334,99.69468014
1,1,50.32691086,90.02205349
1,1,50.45620733,89.98741013
1,1,30.46484693,82.08923208
1,1,30.50159647,82.30712635
1,1,30.48956923,77.72988014
1,1,30.45024833,79.8348944
1,1,30.5183948,68.25258294
1,1,30.51166121,66.09371818
1,1,30.49807772,62.38498503
1,1,30.62022775,60.86008215
1,1,30.49218542,55.87891689
1,1,30.47463433,52.32215964
1,1,30.50099808,48.06969968
1,1,30.49442136,45.77347554
1,1,30.49954455,49.38209975
1,1,50.14439298,47.01428364
1,1,49.91289859,55.58783891
1,1,50.33742749,57.95531428
1,1,50.4189792,60.52491174
1,1,50.20525897,57.92421717
1,1,50.43531516,56.43932247
1,1,69.5057889,59.28492483
1,1,69.53407098,64.89297734
1,1,69.51010693,61.32962443
1,1,69.52632289,56.99527913
1,1,49.94723996,48.22957673
1,1,50.06310413,58.08503756
1,1,50.48990237,39.20541197
1,1,49.68886384,42.01851441
1,1,50.33348111,43.58867148
1,1,50.44675142,57.23058894
1,1,50.4209092,43.3479569
1,1,50.37405205,32.91824062
1,1,30.47682991,39.42460559
1,1,30.50347435,38.34855614
1,1,30.50483493,28.77148799
1,1,30.46221847,32.75047203
1,1,30.49130262,43.56137408
1,1,30.44965384,44.995123
1,1,30.48599422,47.34794647
1,1,30.50207679,36.44121292
1,1,30.47805889,28.02058049
1,1,30.50116088,38.31413856
1,1,30.50477302,26.41662567
1,1,30.50911533,22.82554712
1,1,50.11563217,16.69400655
1,1,50.44830134,21.64025646
1,1,50.17317743,29.17786439
1,1,49.92274192,38.44047291
1,1,50.31129938,26.86048827
1,1,50.39940961,38.96383892
1,1,50.33736265,40.91338614
1,1,50.2023181,47.212948
1,1,50.27493261,49.62349934
1,1,69.49438031,52.61241071
1,1,69.51933976,47.38453371
1,1,69.52918261,57.84126668
1,1,69.4957555,58.78507316
1,1,69.19905771,60.41895732
1,1,69.55109144,58.40109827
1,1,69.50668432,68.08446679
1,1,50.44411755,75.01329951
1,1,50.46722939,90.28146451
1,1,50.21088198,80.94177171
1,1,50.20540696,90.6405359
1,1,50.43829067,92.35476027
1,1,50.37351885,82.21920572
1,1,50.25368369,81.74382872
1,1,50.25047086,71.95138521
1,1,50.08705836,73.95187363
1,1,50.23107188,80.64738706
1,1,50.20774112,73.11450352
1,1,30.49950617,53.61252767
1,1,30.52036124,65.10040907
1,1,30.45495589,63.50177878
1,1,50.41647723,97.26969196
1,1,69.52506938,93.59805021
1,1,69.5202566,97.19387602
1,1,69.49897007,92.12048993
1,1,69.52861566,91.62208824
1,1,69.49976693,84.47968329
1,1,69.50380137,81.81540562
1,1,69.4875894,81.83598756
1,1,69.51911573,71.11596722
1,1,69.5043763,70.49344382
1,1,69.51257301,61.49756395
1,1,89.49420056,62.23432697
1,1,89.50012405,53.21633062
1,1,89.49024625,48.89079655
1,1,89.49778562,46.62990668
1,1,89.50485113,48.42340816
1,1,89.50105265,43.3473437
1,1,89.48884126,40.62509122
1,1,89.50162353,45.81517919
1,1,89.49752966,33.90137267
1,1,50.43909202,37.6707718
1,1,50.17985013,36.80755934
1,1,69.50507067,33.7401525
1,1,69.57986705,21.93523675
1,1,69.50647195,22.72866288
1,1,69.49947887,16.33746998
1,1,69.50026475,27.13602399
1,1,69.50415652,23.6689181
1,1,69.53227959,21.85090082
1,1,69.50011149,11.79162601
1,1,69.50481542,15.61435826
1,1,69.50347452,17.16908977
1,1,50.37740199,16.50601506
1,1,50.33942548,18.72345069
1,1,50.0936501,11.60771342
1,1,49.93412717,22.25613974
1,1,50.28881861,13.43641047
1,1,50.28799443,12.87228221
1,1,50.2347207,20.40447292
1,1,50.27970164,15.60873757
1,1,50.25300672,11.30208425
1,1,50.47414112,12.46199667
1,1,50.10843997,18.25904434
1,1,49.91905825,3.716853885
1,1,50.08366451,10.2358819
1,1,50.35226084,12.46860053
1,1,50.49757224,7.409625234
1,1,50.01630584,16.25368479
1,1,50.46822122,13.35670246
1,1,69.55067898,9.032987569
1,1,69.51867275,15.18048643
1,1,69.50345741,16.87831327
1,1,69.49948683,10.20782668
1,1,69.52752968,9.992296666
1,1,69.51909526,11.4226857
1,1,69.56189943,15.99980379
1,1,69.50104452,5.955833539
1,1,69.52463598,2.73476017
1,1,30.49959371,26.08556157
1,1,30.48739171,19.77947037
1,1,89.50018047,31.97891744
1,1,50.41027163,98.62836944
1,1,50.32592439,94.99463085
1,1,50.1040315,95.08853802
2,1,65.8155401,95.58837406
2,1,65.67226516,91.93340181
2,1,39.00271645,92.26183816
2,1,37.7953028,93.53245536
2,1,35.51390059,89.59919011
2,1,39.21945291,83.54348184
2,1,31.58820139,77.02805242
2,1,32.65777825,80.1138613
2,1,31.64159927,77.61083319
2,1,30.98714261,63.94402803
2,1,27.43963221,65.74446296
2,1,30.57836995,65.52194547
2,1,28.80940164,59.62100447
2,1,27.93951858,50.98506213
2,1,33.84994979,46.28447445
2,1,32.62846305,54.06372049
2,1,32.43865009,49.90301949
2,1,35.83829208,53.35148834
2,1,37.14204292,49.74198795
2,1,34.64454678,54.44410778
2,1,35.6754047,49.62564335
2,1,64.99458547,49.46217283
2,1,66.12914983,61.64371789
2,1,65.79065188,55.94537372
2,1,67.50178061,60.85022747
2,1,67.62951422,61.42910607
2,1,63.91006406,62.97233493
2,1,66.54935797,67.72558866
2,1,64.05154171,48.82009398
2,1,68.19328958,46.54354081
2,1,65.2783892,44.82035293
2,1,34.99766139,28.63299394
2,1,33.92376617,53.55868852
